B,R,tol,Rb,recall,false,relax,n_confirm_days
0.65,0.375,0.02,0.11,3,0,2.8071,153
0.625,0.475,0.015,0.03,3,0,2.8063,155
0.625,0.475,0.02,0.08,3,0,2.8063,169
0.6,0.575,0.015,0.0,3,0,2.8056,177
0.675,0.4,0.0125,0.01,3,0,2.8052,150
0.675,0.4,0.0175,0.06,3,0,2.8052,173
0.625,0.375,0.0125,0.05,3,0,2.8036,132
0.625,0.375,0.0175,0.1,3,0,2.8036,145
0.7,0.425,0.015,0.01,3,0,2.8032,169
0.7,0.425,0.02,0.06,3,0,2.8032,186
0.6,0.475,0.0125,0.02,3,0,2.8028,137
0.6,0.475,0.0175,0.07,3,0,2.8028,160
0.65,0.4,0.015,0.05,3,0,2.8016,153
0.65,0.4,0.02,0.1,3,0,2.8016,159
0.625,0.5,0.015,0.02,3,0,2.8008,159
0.625,0.5,0.02,0.07,3,0,2.8008,177
0.6,0.375,0.015,0.09,3,0,2.8,129
0.6,0.375,0.02,0.14,3,0,2.8,137
0.675,0.425,0.0125,0.0,3,0,2.7996,154
0.625,0.4,0.0125,0.04,3,0,2.798,134
0.625,0.4,0.0175,0.09,3,0,2.798,148
0.7,0.45,0.015,0.0,3,0,2.7976,179
0.6,0.5,0.0125,0.01,3,0,2.7972,144
0.6,0.5,0.0175,0.06,3,0,2.7972,166
0.65,0.425,0.015,0.04,3,0,2.796,152
0.65,0.425,0.02,0.09,3,0,2.796,159
0.625,0.525,0.015,0.01,3,0,2.7952,167
0.625,0.525,0.02,0.06,3,0,2.7952,184
0.6,0.4,0.015,0.08,3,0,2.7944,136
0.6,0.4,0.02,0.13,3,0,2.7944,139
0.725,0.375,0.015,0.02,3,0,2.7929,166
0.725,0.375,0.02,0.07,3,0,2.7929,185
0.625,0.425,0.0125,0.03,3,0,2.7925,133
0.625,0.425,0.0175,0.08,3,0,2.7925,152
0.6,0.525,0.0125,0.0,3,0,2.7917,152
0.65,0.45,0.015,0.03,3,0,2.7905,156
0.65,0.45,0.02,0.08,3,0,2.7905,170
0.625,0.55,0.015,0.0,3,0,2.7897,177
0.7,0.375,0.0125,0.01,3,0,2.7893,151
0.7,0.375,0.0175,0.06,3,0,2.7893,174
0.6,0.425,0.015,0.07,3,0,2.7889,139
0.6,0.425,0.02,0.12,3,0,2.7889,139
0.725,0.4,0.015,0.01,3,0,2.7873,173
0.725,0.4,0.02,0.06,3,0,2.7873,191
0.625,0.45,0.0125,0.02,3,0,2.7869,138
0.625,0.45,0.0175,0.07,3,0,2.7869,161
0.675,0.375,0.015,0.05,3,0,2.7857,154
0.675,0.375,0.02,0.1,3,0,2.7857,160
0.65,0.475,0.015,0.02,3,0,2.7849,160
0.65,0.475,0.02,0.07,3,0,2.7849,178
0.7,0.4,0.0125,0.0,3,0,2.7837,158
0.6,0.45,0.015,0.06,3,0,2.7833,145
0.6,0.45,0.02,0.11,3,0,2.7833,147
0.65,0.375,0.0125,0.04,3,0,2.7821,135
0.65,0.375,0.0175,0.09,3,0,2.7821,149
0.725,0.425,0.015,0.0,3,0,2.7817,179
0.625,0.475,0.0125,0.01,3,0,2.7813,145
0.625,0.475,0.0175,0.06,3,0,2.7813,167
0.675,0.4,0.015,0.04,3,0,2.7802,156
0.675,0.4,0.02,0.09,3,0,2.7802,164
0.65,0.5,0.015,0.01,3,0,2.7794,167
0.65,0.5,0.02,0.06,3,0,2.7794,184
0.625,0.375,0.015,0.08,3,0,2.7786,137
0.625,0.375,0.02,0.13,3,0,2.7786,140
0.6,0.475,0.015,0.05,3,0,2.7778,148
0.6,0.475,0.02,0.1,3,0,2.7778,153
0.65,0.4,0.0125,0.03,3,0,2.7766,137
0.65,0.4,0.0175,0.08,3,0,2.7766,157
0.625,0.5,0.0125,0.0,3,0,2.7758,152
0.675,0.425,0.015,0.03,3,0,2.7746,156
0.675,0.425,0.02,0.08,3,0,2.7746,170
0.65,0.525,0.015,0.0,3,0,2.7738,177
0.625,0.4,0.015,0.07,3,0,2.773,144
0.625,0.4,0.02,0.12,3,0,2.773,144
0.6,0.5,0.015,0.04,3,0,2.7722,150
0.6,0.5,0.02,0.09,3,0,2.7722,157
0.75,0.375,0.015,0.01,3,0,2.7714,173
0.75,0.375,0.02,0.06,3,0,2.7714,191
0.925,0.15,0.015,0.01,3,0,2.7714,170
0.925,0.15,0.02,0.06,3,0,2.7714,187
0.65,0.425,0.0125,0.02,3,0,2.771,138
0.65,0.425,0.0175,0.07,3,0,2.771,161
0.6,0.4,0.0125,0.06,3,0,2.7694,128
0.675,0.45,0.015,0.02,3,0,2.769,161
0.675,0.45,0.02,0.07,3,0,2.769,179
0.725,0.375,0.0125,0.0,3,0,2.7679,159
0.625,0.425,0.015,0.06,3,0,2.7675,145
0.625,0.425,0.02,0.11,3,0,2.7675,147
0.6,0.525,0.015,0.03,3,0,2.7667,154
0.6,0.525,0.02,0.08,3,0,2.7667,168
0.75,0.4,0.015,0.0,3,0,2.7659,182
0.925,0.175,0.015,0.0,3,0,2.7659,179
0.65,0.45,0.0125,0.01,3,0,2.7655,146
0.65,0.45,0.0175,0.06,3,0,2.7655,168
0.7,0.375,0.015,0.04,3,0,2.7643,157
0.7,0.375,0.02,0.09,3,0,2.7643,165
0.6,0.425,0.0125,0.05,3,0,2.7639,127
0.6,0.425,0.0175,0.1,3,0,2.7639,139
0.675,0.475,0.015,0.01,3,0,2.7635,168
0.675,0.475,0.02,0.06,3,0,2.7635,185
0.625,0.45,0.015,0.05,3,0,2.7619,149
0.625,0.45,0.02,0.1,3,0,2.7619,154
0.6,0.55,0.015,0.02,3,0,2.7611,159
0.6,0.55,0.02,0.07,3,0,2.7611,177
0.675,0.375,0.0125,0.03,3,0,2.7607,138
0.675,0.375,0.0175,0.08,3,0,2.7607,158
0.65,0.475,0.0125,0.0,3,0,2.7599,153
0.7,0.4,0.015,0.03,3,0,2.7587,160
0.7,0.4,0.02,0.08,3,0,2.7587,175
0.6,0.45,0.0125,0.04,3,0,2.7583,130
0.6,0.45,0.0175,0.09,3,0,2.7583,143
0.675,0.5,0.015,0.0,3,0,2.7579,177
0.65,0.375,0.015,0.07,3,0,2.7571,145
0.65,0.375,0.02,0.12,3,0,2.7571,145
0.625,0.475,0.015,0.04,3,0,2.7563,151
0.625,0.475,0.02,0.09,3,0,2.7563,158
0.6,0.575,0.015,0.01,3,0,2.7556,167
0.6,0.575,0.02,0.06,3,0,2.7556,184
0.675,0.4,0.0125,0.02,3,0,2.7552,142
0.675,0.4,0.0175,0.07,3,0,2.7552,166
0.625,0.375,0.0125,0.06,3,0,2.7536,129
0.7,0.425,0.015,0.02,3,0,2.7532,161
0.7,0.425,0.02,0.07,3,0,2.7532,179
0.6,0.475,0.0125,0.03,3,0,2.7528,132
0.6,0.475,0.0175,0.08,3,0,2.7528,151
0.65,0.4,0.015,0.06,3,0,2.7516,150
